"seed","OOB_Accuracy","test_Accuracy","Accuracy"
37596,0.996246044940205,0.996782496782497,0.996782496782497
12345,0.996085161151928,0.994637494637495,0.994637494637495
95824,0.995495253928246,0.995495495495496,0.995495495495496
56932,0.995012602563415,0.997425997425997,0.997425997425997
10514,0.99544162599882,0.996138996138996,0.996138996138996
20095,0.99544162599882,0.995709995709996,0.995709995709996
23420,0.995602509787097,0.995495495495496,0.995495495495496
20515,0.99544162599882,0.997425997425997,0.997425997425997
31925,0.995227114281118,0.994851994851995,0.994851994851995
29392,0.995602509787097,0.996567996567997,0.996567996567997
