"seed","OOB_Accuracy","test_Accuracy","Accuracy"
37596,0.996460556657907,0.996567996567997,0.996567996567997
12345,0.995977905293077,0.994422994422994,0.994637494637495
95824,0.995870649434225,0.996996996996997,0.996996996996997
56932,0.996353300799056,0.997640497640498,0.997640497640498
10514,0.996031533222502,0.996782496782497,0.996567996567997
20095,0.995870649434225,0.995924495924496,0.995924495924496
23420,0.996031533222502,0.996996996996997,0.996996996996997
20515,0.995709765645948,0.996996996996997,0.996782496782497
31925,0.995870649434225,0.996782496782497,0.996567996567997
29392,0.996085161151928,0.996996996996997,0.996996996996997
