"seed","OOB_Accuracy","test_Accuracy","Accuracy"
37596,0.996835952163887,0.996138996138996,0.996138996138996
12345,0.996299672869631,0.994422994422994,0.994422994422994
95824,0.9958170215048,0.996567996567997,0.996567996567997
56932,0.9958170215048,0.997640497640498,0.997640497640498
10514,0.995924277363651,0.996567996567997,0.996567996567997
20095,0.995709765645948,0.996138996138996,0.996138996138996
23420,0.995924277363651,0.996567996567997,0.996567996567997
20515,0.996192417010779,0.996996996996997,0.996996996996997
31925,0.995924277363651,0.996567996567997,0.996567996567997
29392,0.995924277363651,0.996782496782497,0.996782496782497
