"k","CV_Accuracy","Accuracy"
2,0.772102338045436,0.76962676962677
3,0.782592370305353,0.76962676962677
4,0.783294452573293,0.76962676962677
5,0.783510246837159,0.76962676962677
6,0.78003417592645,0.76962676962677
7,0.783874781250861,0.76962676962677
8,0.781107383564111,0.76962676962677
9,0.778672722601877,0.76962676962677
10,0.781274054724819,0.76962676962677
11,0.782017008949224,0.76962676962677
